n_e,n_i,T_i,T_e,rho
2.4230139e+20,2.4230139e+20,10328.236,10202.4,0.42,
2.4149176e+20,2.4149176e+20,10233.667,10087.389,0.425,
2.4067676e+20,2.4067676e+20,10140.237,9974.3104,0.43,
2.3985544e+20,2.3985544e+20,10047.799,9862.97,0.435,
2.3902723e+20,2.3902723e+20,9956.2659,9753.2427,0.44,
2.3818417e+20,2.3818417e+20,9864.7573,9644.0656,0.445,
2.3733529e+20,2.3733529e+20,9774.2483,9536.5924,0.45,
2.3648183e+20,2.3648183e+20,9684.839,9430.9231,0.455,
2.3562404e+20,2.3562404e+20,9596.5216,9327.0298,0.46,
2.3475042e+20,2.3475042e+20,9508.1077,9223.5052,0.465,
2.3387083e+20,2.3387083e+20,9420.5974,9121.513,0.47,
2.3298737e+20,2.3298737e+20,9334.1697,9021.245,0.475,
2.3210009e+20,2.3210009e+20,9248.8075,8922.6756,0.48,
2.3119584e+20,2.3119584e+20,9163.4236,8824.753,0.485,
2.3028391e+20,2.3028391e+20,9078.9609,8728.6224,0.49,
2.2936727e+20,2.2936727e+20,8995.6619,8634.5318,0.495,
2.2844594e+20,2.2844594e+20,8913.4875,8542.4068,0.5,
2.2751168e+20,2.2751168e+20,8831.6867,8451.3855,0.505,
2.2656897e+20,2.2656897e+20,8750.6431,8361.8799,0.51,
2.2561701e+20,2.2561701e+20,8670.2731,8273.7791,0.515,
2.2465964e+20,2.2465964e+20,8590.8782,8187.3927,0.52,
2.2369743e+20,2.2369743e+20,8512.4747,8102.7138,0.525,
2.2272540e+20,2.2272540e+20,8434.6378,8019.2647,0.53,
2.2173859e+20,2.2173859e+20,8356.9704,7936.6101,0.535,
2.2075260e+20,2.2075260e+20,8280.6813,7856.0179,0.54,
2.1976153e+20,2.1976153e+20,8205.2752,7776.9383,0.545,
2.1876015e+20,2.1876015e+20,8130.3391,7698.9221,0.55,
2.1774831e+20,2.1774831e+20,8055.857,7621.9419,0.555,
2.1673113e+20,2.1673113e+20,7982.1916,7546.3582,0.56,
2.1571345e+20,2.1571345e+20,7909.6636,7472.4778,0.565,
2.1468557e+20,2.1468557e+20,7837.5598,7399.5572,0.57,
2.1365226e+20,2.1365226e+20,7766.1576,7327.8129,0.575,
2.1261016e+20,2.1261016e+20,7695.0858,7256.7206,0.58,
2.1156550e+20,2.1156550e+20,7624.7516,7186.6712,0.585,
2.1051992e+20,2.1051992e+20,7555.2438,7117.742,0.59,
2.0946954e+20,2.0946954e+20,7486.2889,7049.6522,0.595,
2.0841019e+20,2.0841019e+20,7417.6068,6982.1188,0.6,
2.0734422e+20,2.0734422e+20,7349.3453,6915.2821,0.605,
2.0628191e+20,2.0628191e+20,7282.1446,6849.7589,0.61,
2.0521574e+20,2.0521574e+20,7215.508,6785.054,0.615,
2.0414072e+20,2.0414072e+20,7149.1161,6720.8516,0.62,
2.0306169e+20,2.0306169e+20,7083.2635,6657.431,0.625,
2.0198044e+20,2.0198044e+20,7018.0454,6594.8762,0.63,
2.0089826e+20,2.0089826e+20,6953.5245,6533.2387,0.635,
1.9981293e+20,1.9981293e+20,6889.5536,6472.3699,0.64,
1.9872258e+20,1.9872258e+20,6826.0135,6412.1501,0.645,
1.9762656e+20,1.9762656e+20,6762.8594,6352.5316,0.65,
1.9653023e+20,1.9653023e+20,6700.389,6293.7885,0.655,
1.9543508e+20,1.9543508e+20,6638.6699,6235.9758,0.66,
1.9433568e+20,1.9433568e+20,6577.3764,6178.778,0.665,
1.9323511e+20,1.9323511e+20,6516.2892,6121.7762,0.67,
1.9213622e+20,1.9213622e+20,6455.3417,6064.7858,0.675,
1.9104295e+20,1.9104295e+20,6394.7558,6008.018,0.68,
1.8995543e+20,1.8995543e+20,6334.5424,5951.4874,0.685,
1.8886918e+20,1.8886918e+20,6274.4575,5894.9683,0.69,
1.8778435e+20,1.8778435e+20,6214.5124,5838.4742,0.695,
1.8670451e+20,1.8670451e+20,6154.9092,5782.1989,0.7,
1.8563175e+20,1.8563175e+20,6095.7654,5726.2575,0.705,
1.8456037e+20,1.8456037e+20,6036.7704,5670.3596,0.71,
1.8349407e+20,1.8349407e+20,5978.1313,5614.7048,0.715,
1.8243130e+20,1.8243130e+20,5919.7652,5559.2177,0.72,
1.8137044e+20,1.8137044e+20,5861.5865,5503.8199,0.725,
1.8031533e+20,1.8031533e+20,5803.8092,5448.7183,0.73,
1.7926601e+20,1.7926601e+20,5746.4374,5393.9205,0.735,
1.7821859e+20,1.7821859e+20,5689.2613,5339.2291,0.74,
1.7717341e+20,1.7717341e+20,5632.3029,5284.6679,0.745,
1.7613430e+20,1.7613430e+20,5575.7731,5230.442,0.75,
1.7509948e+20,1.7509948e+20,5519.5767,5176.463,0.755,
1.7406750e+20,1.7406750e+20,5463.6464,5123.0267,0.76,
1.7304511e+20,1.7304511e+20,5408.3854,5072.1145,0.765,
1.7202727e+20,1.7202727e+20,5353.5237,5023.6094,0.77,
1.7101459e+20,1.7101459e+20,5299.0945,4977.486,0.775,
1.7001177e+20,1.7001177e+20,5245.3479,4933.8889,0.78,
1.6901616e+20,1.6901616e+20,5192.1398,4892.6315,0.785,
1.6802474e+20,1.6802474e+20,5139.307,4853.5366,0.79,
1.6704075e+20,1.6704075e+20,5087.0218,4816.6834,0.795,
1.6606610e+20,1.6606610e+20,5035.3832,4782.0817,0.8,
1.6509152e+20,1.6509152e+20,4983.8987,4749.3648,0.805,
1.6412779e+20,1.6412779e+20,4933.1371,4718.8556,0.81,
1.6317202e+20,1.6317202e+20,4882.9432,4690.4034,0.815,
1.6222005e+20,1.6222005e+20,4833.0968,4663.8472,0.82,
1.6127328e+20,1.6127328e+20,4783.6705,4639.1994,0.825,
1.6033499e+20,1.6033499e+20,4734.8342,4616.5081,0.83,
1.5940162e+20,1.5940162e+20,4686.3999,4595.6519,0.835,
1.5847437e+20,1.5847437e+20,4638.4296,4576.6319,0.84,
1.5755664e+20,1.5755664e+20,4591.096,4559.4809,0.845,
1.5664160e+20,1.5664160e+20,4544.0458,4544.0458,0.85,
1.5565981e+20,1.5565981e+20,4473.1222,4473.1222,0.855,
1.5465678e+20,1.5465678e+20,4402.3336,4402.3336,0.86,
1.5362338e+20,1.5362338e+20,4331.2209,4331.2209,0.865,
1.5254025e+20,1.5254025e+20,4258.825,4258.825,0.87,
1.5140194e+20,1.5140194e+20,4184.4834,4184.4834,0.875,
